category,name,price,duration
DPO Packages,ACT_SUPREME_HD_12_MONTHS_LCO PACK_VIZ,₹3016.27,/Year
DPO Packages,ACT_SMART_HD_12_MONTHS_LCO PACK_VIZ,₹2507.8,/Year
DPO Packages,ACT_HINDI_12_MONTHS_LCO PACK_VIZ,₹2101.02,/Year
DPO Packages,ACT_ULTIMATE_12_MONTHS_LCO PACK_VIZ,₹1795.94,/Year
DPO Packages,ACT_SUPREME_HD_06_MONTHS_LCO PACK_VIZ,₹1508.14,/Year
DPO Packages,ACT_BUDGET_PLUS_12_MONTHS_LCO PACK_VIZ,₹1480.68,/Year
DPO Packages,ACT_BUDGET_PACK_12_MONTHS_LCO PACK_VIZ,₹1389.16,/Year
DPO Packages,ACT_SMART_HD_06_MONTHS_LCO PACK_VIZ,₹1253.9,/Year
DPO Packages,ACT_HINDI_06_MONTHS_LCO PACK_VIZ,₹1050.51,/Year
DPO Packages,ACT_ULTIMATE_06_MONTHS_LCO PACK_VIZ,₹897.97,/Year
DPO Packages,ACT_SUPREME_HD_03_MONTHS_LCO PACK_VIZ,₹889.8,/Year
DPO Packages,ACT_BUDGET_PLUS_06_MONTHS_LCO PACK_VIZ,₹740.34,/Year
DPO Packages,ACT_SMART_HD_03_MONTHS_LCO PACK_VIZ,₹739.8,/Year
DPO Packages,ACT_BUDGET_PACK_06_MONTHS_LCO PACK_VIZ,₹694.58,/Year
DPO Packages,ACT_HINDI_03_MONTHS_LCO PACK_VIZ,₹589.8,/Year
DPO Packages,ACT_ULTIMATE_03_MONTHS_LCO PACK_VIZ,₹499.8,/Year
DPO Packages,ACT_BUDGET_PLUS_03_MONTHS_LCO PACK_VIZ,₹406.8,/Year
DPO Packages,ACT_BUDGET_PACK_03_MONTHS_LCO PACK_VIZ,₹376.8,/Year
DPO Packages,ACT SUPREME_HD_PRE_VIZ,₹208.99,/Year
DPO Packages,ACT SMART_HD_PRE_VIZ,₹187.8,/Year
DPO Packages,ACT HINDI_PRE_VIZ,₹175.09,/Year
DPO Packages,ACT PREMIUM_TELUGU_PRE_VIZ,₹175.09,/Year
DPO Packages,SVP LITE HINDI HD_PRE_VIZ,₹150.0,/Month
DPO Packages,ACT ULTIMATE_PRE_VIZ,₹149.67,/Year
